"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","song","album.x","song.title","song.id","artist","album.y","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","Date","Chart","Artist","Date2","album2","album.date"
"1",5,2,2,5,1,2,1,1,8,2,"Hit The Lights","Kill 'Em All","Hit The Lights (Remastered)","4OH1lqC4mx1ja8RkXMOmRp","Metallica","Kill 'Em All",0.249,0.97,4,-5.535,0,0.21,4.3e-05,0.224,0.138,0.287,160.687,"audio_features","4OH1lqC4mx1ja8RkXMOmRp","spotify:track:4OH1lqC4mx1ja8RkXMOmRp","https://api.spotify.com/v1/tracks/4OH1lqC4mx1ja8RkXMOmRp","https://api.spotify.com/v1/audio-analysis/4OH1lqC4mx1ja8RkXMOmRp",255867,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"2",6,5,6,11,2,7,2,2,14,5,"The Four Horsemen","Kill 'Em All","The Four Horsemen (Remastered)","4YPgTCGJWAlHQ5g6eWoM8r","Metallica","Kill 'Em All",0.222,0.938,0,-6.91,1,0.375,0.00171,0.0845,0.108,0.329,203.098,"audio_features","4YPgTCGJWAlHQ5g6eWoM8r","spotify:track:4YPgTCGJWAlHQ5g6eWoM8r","https://api.spotify.com/v1/tracks/4YPgTCGJWAlHQ5g6eWoM8r","https://api.spotify.com/v1/audio-analysis/4YPgTCGJWAlHQ5g6eWoM8r",432547,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"3",3,0,2,3,2,3,1,1,6,4,"Motorbreath","Kill 'Em All","Motorbreath (Remastered)","1QQgmN383kUqjioRoTSfF3","Metallica","Kill 'Em All",0.289,0.938,1,-6.083,1,0.163,0.000116,0.0615,0.106,0.349,173.882,"audio_features","1QQgmN383kUqjioRoTSfF3","spotify:track:1QQgmN383kUqjioRoTSfF3","https://api.spotify.com/v1/tracks/1QQgmN383kUqjioRoTSfF3","https://api.spotify.com/v1/audio-analysis/1QQgmN383kUqjioRoTSfF3",187840,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"4",6,4,3,7,3,4,2,2,8,7,"Jump In The Fire","Kill 'Em All","Jump In The Fire (Remastered)","1gXXgZzrqexEhWa5Fg7VoA","Metallica","Kill 'Em All",0.29,0.911,5,-5.667,0,0.0975,0.00617,0.0108,0.331,0.658,178.636,"audio_features","1gXXgZzrqexEhWa5Fg7VoA","spotify:track:1gXXgZzrqexEhWa5Fg7VoA","https://api.spotify.com/v1/tracks/1gXXgZzrqexEhWa5Fg7VoA","https://api.spotify.com/v1/audio-analysis/1gXXgZzrqexEhWa5Fg7VoA",281293,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"5",12,2,5,10,1,9,3,3,16,4,"Whiplash","Kill 'Em All","Whiplash (Remastered)","4k1IS2uF2dGcU3GzOOZqqb","Metallica","Kill 'Em All",0.386,0.911,4,-6.474,0,0.0956,0.000608,0.443,0.135,0.188,158.045,"audio_features","4k1IS2uF2dGcU3GzOOZqqb","spotify:track:4k1IS2uF2dGcU3GzOOZqqb","https://api.spotify.com/v1/tracks/4k1IS2uF2dGcU3GzOOZqqb","https://api.spotify.com/v1/audio-analysis/4k1IS2uF2dGcU3GzOOZqqb",248547,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"6",2,1,3,4,1,5,0,2,10,3,"Phantom Lord","Kill 'Em All","Phantom Lord (Remastered)","5piPHieFIgwZjWGwLtIax0","Metallica","Kill 'Em All",0.212,0.973,2,-5.307,1,0.322,0.000842,0.0213,0.0921,0.112,159.381,"audio_features","5piPHieFIgwZjWGwLtIax0","spotify:track:5piPHieFIgwZjWGwLtIax0","https://api.spotify.com/v1/tracks/5piPHieFIgwZjWGwLtIax0","https://api.spotify.com/v1/audio-analysis/5piPHieFIgwZjWGwLtIax0",301293,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"7",9,3,4,13,1,7,2,2,13,6,"No Remorse","Kill 'Em All","No Remorse (Remastered)","7klyZXrpJD8GqVE9QYYy4A","Metallica","Kill 'Em All",0.296,0.915,9,-5.979,1,0.163,0.000297,0.346,0.362,0.245,96.715,"audio_features","7klyZXrpJD8GqVE9QYYy4A","spotify:track:7klyZXrpJD8GqVE9QYYy4A","https://api.spotify.com/v1/tracks/7klyZXrpJD8GqVE9QYYy4A","https://api.spotify.com/v1/audio-analysis/7klyZXrpJD8GqVE9QYYy4A",386560,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"8",9,2,2,8,1,4,3,5,11,6,"Metal Militia","Kill 'Em All","Metal Militia (Remastered)","5gQ0LTbcX7gpQDg39gNLH8","Metallica","Kill 'Em All",0.166,0.956,9,-5.307,1,0.145,8.08e-05,0.00515,0.118,0.238,176.217,"audio_features","5gQ0LTbcX7gpQDg39gNLH8","spotify:track:5gQ0LTbcX7gpQDg39gNLH8","https://api.spotify.com/v1/tracks/5gQ0LTbcX7gpQDg39gNLH8","https://api.spotify.com/v1/audio-analysis/5gQ0LTbcX7gpQDg39gNLH8",311467,4,1983-07-25,NA,"Metallica",1983,"Kill 'Em All","Kill 'Em All 1983"
"9",6,3,2,7,1,5,1,2,7,3,"Fight Fire With Fire","Ride The Lightning","Fight Fire With Fire (Remastered)","3eaOnliKh0QdjuDbPAwCLx","Metallica","Ride The Lightning",0.28,0.986,0,-7.012,1,0.115,3.73e-05,0.688,0.071,0.16,91.025,"audio_features","3eaOnliKh0QdjuDbPAwCLx","spotify:track:3eaOnliKh0QdjuDbPAwCLx","https://api.spotify.com/v1/tracks/3eaOnliKh0QdjuDbPAwCLx","https://api.spotify.com/v1/audio-analysis/3eaOnliKh0QdjuDbPAwCLx",284507,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"10",6,6,4,8,3,4,3,2,9,5,"Ride The Lightning","Ride The Lightning","Ride The Lightning (Remastered)","6yUCeySJMRaSAEsnfqDeZK","Metallica","Ride The Lightning",0.265,0.973,9,-6.129,1,0.173,5.15e-05,0.0942,0.205,0.27,148.506,"audio_features","6yUCeySJMRaSAEsnfqDeZK","spotify:track:6yUCeySJMRaSAEsnfqDeZK","https://api.spotify.com/v1/tracks/6yUCeySJMRaSAEsnfqDeZK","https://api.spotify.com/v1/audio-analysis/6yUCeySJMRaSAEsnfqDeZK",396987,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"11",6,5,2,10,5,7,2,5,15,7,"For Whom The Bell Tolls","Ride The Lightning","For Whom The Bell Tolls (Remastered)","17rf2oZYDVymJeYI9ftDXc","Metallica","Ride The Lightning",0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,"audio_features","17rf2oZYDVymJeYI9ftDXc","spotify:track:17rf2oZYDVymJeYI9ftDXc","https://api.spotify.com/v1/tracks/17rf2oZYDVymJeYI9ftDXc","https://api.spotify.com/v1/audio-analysis/17rf2oZYDVymJeYI9ftDXc",309973,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"12",4,2,2,5,2,8,2,3,8,3,"Fade To Black","Ride The Lightning","Fade To Black (Remastered)","4kBsYpQBUbSIQNLTDF7es2","Metallica","Ride The Lightning",0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,"audio_features","4kBsYpQBUbSIQNLTDF7es2","spotify:track:4kBsYpQBUbSIQNLTDF7es2","https://api.spotify.com/v1/tracks/4kBsYpQBUbSIQNLTDF7es2","https://api.spotify.com/v1/audio-analysis/4kBsYpQBUbSIQNLTDF7es2",417227,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"13",7,2,5,8,0,7,4,0,11,2,"Trapped Under Ice","Ride The Lightning","Trapped Under Ice (Remastered)","48BSp63VnT4GwK8BxiwdTD","Metallica","Ride The Lightning",0.242,0.989,9,-5.298,1,0.204,8.16e-05,0.0531,0.0528,0.054,162.98,"audio_features","48BSp63VnT4GwK8BxiwdTD","spotify:track:48BSp63VnT4GwK8BxiwdTD","https://api.spotify.com/v1/tracks/48BSp63VnT4GwK8BxiwdTD","https://api.spotify.com/v1/audio-analysis/48BSp63VnT4GwK8BxiwdTD",244067,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"14",4,1,2,5,2,3,1,3,7,3,"Escape","Ride The Lightning","Escape (Remastered)","0ybLEwE6TxjCePcIwwZeyJ","Metallica","Ride The Lightning",0.267,0.937,9,-5.841,1,0.101,0.00134,0.471,0.175,0.526,144.126,"audio_features","0ybLEwE6TxjCePcIwwZeyJ","spotify:track:0ybLEwE6TxjCePcIwwZeyJ","https://api.spotify.com/v1/tracks/0ybLEwE6TxjCePcIwwZeyJ","https://api.spotify.com/v1/audio-analysis/0ybLEwE6TxjCePcIwwZeyJ",263867,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"15",6,6,3,12,1,7,1,5,14,5,"Creeping Death","Ride The Lightning","Creeping Death (Remastered)","3qXEqKdzI3MSGB1FlGMBz5","Metallica","Ride The Lightning",0.31,0.977,6,-5.478,0,0.164,0.000219,0.273,0.0785,0.179,100.626,"audio_features","3qXEqKdzI3MSGB1FlGMBz5","spotify:track:3qXEqKdzI3MSGB1FlGMBz5","https://api.spotify.com/v1/tracks/3qXEqKdzI3MSGB1FlGMBz5","https://api.spotify.com/v1/audio-analysis/3qXEqKdzI3MSGB1FlGMBz5",395707,4,1984-07-27,NA,"Metallica",1984,"Ride The Lightning","Ride The Lightning 1984"
"16",8,1,3,7,2,5,0,1,11,4,"Battery","Master Of Puppets","Battery (Remastered)","7qRxAH7ZRB2Ita3mebXfR3","Metallica","Master Of Puppets",0.48,0.923,11,-8.793,0,0.0682,0.000211,0.531,0.106,0.44,96.535,"audio_features","7qRxAH7ZRB2Ita3mebXfR3","spotify:track:7qRxAH7ZRB2Ita3mebXfR3","https://api.spotify.com/v1/tracks/7qRxAH7ZRB2Ita3mebXfR3","https://api.spotify.com/v1/audio-analysis/7qRxAH7ZRB2Ita3mebXfR3",312360,4,1986-03-03,29,"Metallica",1986,"Master Of Puppets","Master Of Puppets 1986"
